seed,grouping,label_mode,budget,competence,classes,requested_examples,actual_examples,transfer_indices
3,competence,pseudo,5,3,[2],5,5,"[115,470,631,700,1531]"
3,competence,pseudo,5,4,[0],5,5,"[724,806,855,1413,1697]"
3,competence,pseudo,10,1,"[1,3,4,5,6,7,8]",10,10,"[224,318,560,886,997,1022,1160,1383,1407,1442]"
3,competence,pseudo,10,2,[9],10,10,"[19,425,715,765,1024,1096,1155,1507,1646,1665]"
3,competence,pseudo,10,3,[2],10,10,"[205,463,648,827,889,979,1031,1159,1654,1780]"
3,competence,pseudo,10,4,[0],10,10,"[185,464,552,646,725,824,825,1413,1494,1592]"
3,competence,pseudo,20,1,"[1,3,4,5,6,7,8]",20,20,"[43,88,319,640,836,1003,1022,1074,1094,1150,1313,1383,1420,1453,1509,1512,1609,1692,1702,1781]"
3,competence,pseudo,20,2,[9],20,20,"[92,125,139,149,161,285,287,478,555,665,715,751,942,1096,1186,1296,1534,1554,1646,1665]"
3,competence,pseudo,20,3,[2],20,20,"[115,187,340,463,470,631,648,700,703,827,889,977,979,1031,1207,1499,1547,1654,1669,1780]"
3,competence,pseudo,20,4,[0],20,20,"[78,185,286,292,357,552,571,594,724,796,855,974,1059,1153,1187,1235,1413,1487,1494,1715]"
3,competence,pseudo,40,1,"[1,3,4,5,6,7,8]",40,40,"[47,95,163,218,279,296,376,444,486,534,618,671,702,729,740,763,884,912,920,926,1074,1092,1136,1141,1315,1329,1357,1397,1407,1453,1485,1512,1546,1623,1630,1639,1645,1694,1767,1781]"
3,competence,pseudo,40,2,[9],40,36,"[19,39,73,92,125,139,149,161,251,285,287,381,425,478,555,621,665,715,751,765,881,942,1024,1027,1096,1155,1186,1230,1296,1507,1534,1554,1646,1665,1676,1792]"
3,competence,pseudo,40,3,[2],40,35,"[115,152,187,205,340,398,463,470,631,648,658,700,703,827,830,851,860,889,977,979,1031,1084,1104,1111,1159,1207,1371,1402,1499,1531,1547,1594,1654,1669,1780]"
3,competence,pseudo,40,4,[0],40,36,"[10,78,185,286,292,311,357,435,464,552,571,594,646,682,724,725,796,806,824,825,855,974,1049,1059,1153,1177,1187,1235,1413,1463,1487,1494,1591,1592,1697,1715]"
3,competence,true,5,1,"[1,3,4,5,6,7,8]",5,5,"[419,530,923,1252,1645]"
3,competence,true,5,2,[9],5,5,"[161,1027,1534,1676,1792]"
3,competence,true,5,3,[2],5,5,"[115,470,631,700,1531]"
3,competence,true,5,4,[0],5,5,"[724,806,855,1413,1697]"
3,competence,true,10,1,"[1,3,4,5,6,7,8]",10,10,"[224,318,560,886,997,1022,1160,1383,1407,1442]"
3,competence,true,10,2,[9],10,10,"[19,425,715,765,1024,1096,1155,1507,1646,1665]"
3,competence,true,10,3,[2],10,10,"[205,463,648,827,889,979,1031,1159,1654,1780]"
3,competence,true,10,4,[0],10,10,"[185,464,552,646,725,824,825,1413,1494,1592]"
3,competence,true,20,1,"[1,3,4,5,6,7,8]",20,20,"[43,88,319,640,836,1003,1022,1074,1094,1150,1313,1383,1420,1453,1509,1512,1609,1692,1702,1781]"
3,competence,true,20,2,[9],20,20,"[92,125,139,149,161,285,287,478,555,665,715,751,942,1096,1186,1296,1534,1554,1646,1665]"
3,competence,true,20,3,[2],20,20,"[115,187,340,463,470,631,648,700,703,827,889,977,979,1031,1207,1499,1547,1654,1669,1780]"
3,competence,true,20,4,[0],20,20,"[78,185,286,292,357,552,571,594,724,796,855,974,1059,1153,1187,1235,1413,1487,1494,1715]"
3,competence,true,40,1,"[1,3,4,5,6,7,8]",40,40,"[47,95,163,218,279,296,376,444,486,534,618,671,702,729,740,763,884,912,920,926,1074,1092,1136,1141,1315,1329,1357,1397,1407,1453,1485,1512,1546,1623,1630,1639,1645,1694,1767,1781]"
3,competence,true,40,2,[9],40,36,"[19,39,73,92,125,139,149,161,251,285,287,381,425,478,555,621,665,715,751,765,881,942,1024,1027,1096,1155,1186,1230,1296,1507,1534,1554,1646,1665,1676,1792]"
3,competence,true,40,3,[2],40,35,"[115,152,187,205,340,398,463,470,631,648,658,700,703,827,830,851,860,889,977,979,1031,1084,1104,1111,1159,1207,1371,1402,1499,1531,1547,1594,1654,1669,1780]"
3,competence,true,40,4,[0],40,36,"[10,78,185,286,292,311,357,435,464,552,571,594,646,682,724,725,796,806,824,825,855,974,1049,1059,1153,1177,1187,1235,1413,1463,1487,1494,1591,1592,1697,1715]"
3,random,pseudo,5,1,"[0,2,4,5,6,7,9]",5,5,"[430,548,912,1190,1645]"
3,random,pseudo,5,2,[8],5,5,"[426,1141,1150,1685,1781]"
3,random,pseudo,5,3,[3],5,5,"[3,318,431,578,1160]"
3,random,pseudo,5,4,[1],5,5,"[688,726,906,1357,1752]"
3,random,pseudo,10,1,"[0,2,4,5,6,7,9]",10,10,"[163,330,562,860,970,1183,1395,1413,1692,1715]"
3,random,pseudo,10,2,[8],10,10,"[53,784,997,1028,1141,1295,1315,1453,1666,1695]"
3,random,pseudo,10,3,[3],10,10,"[259,315,354,578,744,836,867,1260,1602,1730]"
3,random,pseudo,10,4,[1],10,10,"[107,341,433,572,702,777,856,1357,1485,1585]"
3,random,pseudo,20,1,"[0,2,4,5,6,7,9]",20,20,"[34,78,311,317,340,468,583,646,650,792,1036,1422,1431,1487,1591,1592,1645,1657,1773,1785]"
3,random,pseudo,20,2,[8],20,20,"[264,274,296,414,426,592,638,814,816,933,997,1026,1103,1295,1315,1383,1414,1666,1685,1695]"
3,random,pseudo,20,3,[3],20,20,"[3,133,269,315,318,319,354,431,529,578,744,779,836,867,1260,1378,1513,1630,1730,1770]"
3,random,pseudo,20,4,[1],20,20,"[70,107,186,200,257,433,456,479,688,716,906,926,1097,1158,1237,1329,1357,1416,1485,1757]"
3,random,pseudo,40,1,"[0,2,4,5,6,7,9]",40,40,"[39,88,135,161,285,287,398,467,488,555,640,671,700,725,727,755,855,886,900,919,1059,1070,1092,1094,1263,1313,1371,1413,1420,1494,1509,1525,1547,1609,1611,1623,1645,1684,1767,1785]"
3,random,pseudo,40,2,[8],40,35,"[53,224,248,264,274,296,414,426,534,592,638,775,784,814,816,923,933,997,1026,1028,1047,1103,1141,1150,1295,1315,1327,1383,1414,1453,1666,1685,1695,1707,1781]"
3,random,pseudo,40,3,[3],40,37,"[3,98,133,259,269,279,315,318,319,354,389,431,529,578,599,659,729,744,779,836,867,1074,1160,1180,1202,1260,1290,1350,1378,1428,1513,1602,1630,1639,1670,1730,1770]"
3,random,pseudo,40,4,[1],40,36,"[47,70,107,186,200,218,257,298,341,433,456,479,572,601,688,702,716,726,777,856,906,926,1008,1097,1158,1213,1237,1329,1357,1372,1416,1485,1546,1585,1752,1757]"
3,random,true,5,1,"[0,2,4,5,6,7,9]",5,5,"[430,548,912,1190,1645]"
3,random,true,5,2,[8],5,5,"[426,1141,1150,1685,1781]"
3,random,true,5,3,[3],5,5,"[3,318,431,578,1160]"
3,random,true,5,4,[1],5,5,"[688,726,906,1357,1752]"
3,random,true,10,1,"[0,2,4,5,6,7,9]",10,10,"[163,330,562,860,970,1183,1395,1413,1692,1715]"
3,random,true,10,2,[8],10,10,"[53,784,997,1028,1141,1295,1315,1453,1666,1695]"
3,random,true,10,3,[3],10,10,"[259,315,354,578,744,836,867,1260,1602,1730]"
3,random,true,10,4,[1],10,10,"[107,341,433,572,702,777,856,1357,1485,1585]"
3,random,true,20,1,"[0,2,4,5,6,7,9]",20,20,"[34,78,311,317,340,468,583,646,650,792,1036,1422,1431,1487,1591,1592,1645,1657,1773,1785]"
3,random,true,20,2,[8],20,20,"[264,274,296,414,426,592,638,814,816,933,997,1026,1103,1295,1315,1383,1414,1666,1685,1695]"
3,random,true,20,3,[3],20,20,"[3,133,269,315,318,319,354,431,529,578,744,779,836,867,1260,1378,1513,1630,1730,1770]"
3,random,true,20,4,[1],20,20,"[70,107,186,200,257,433,456,479,688,716,906,926,1097,1158,1237,1329,1357,1416,1485,1757]"
3,random,true,40,1,"[0,2,4,5,6,7,9]",40,40,"[39,88,135,161,285,287,398,467,488,555,640,671,700,725,727,755,855,886,900,919,1059,1070,1092,1094,1263,1313,1371,1413,1420,1494,1509,1525,1547,1609,1611,1623,1645,1684,1767,1785]"
3,random,true,40,2,[8],40,35,"[53,224,248,264,274,296,414,426,534,592,638,775,784,814,816,923,933,997,1026,1028,1047,1103,1141,1150,1295,1315,1327,1383,1414,1453,1666,1685,1695,1707,1781]"
3,random,true,40,3,[3],40,37,"[3,98,133,259,269,279,315,318,319,354,389,431,529,578,599,659,729,744,779,836,867,1074,1160,1180,1202,1260,1290,1350,1378,1428,1513,1602,1630,1639,1670,1730,1770]"
3,random,true,40,4,[1],40,36,"[47,70,107,186,200,218,257,298,341,433,456,479,572,601,688,702,716,726,777,856,906,926,1008,1097,1158,1213,1237,1329,1357,1372,1416,1485,1546,1585,1752,1757]"
4,competence,pseudo,5,1,"[4,7,9]",5,5,"[324,771,929,1379,1735]"
4,competence,pseudo,5,2,"[1,6,8]",5,5,"[188,509,596,1394,1623]"
4,competence,pseudo,5,3,"[0,5]",5,5,"[551,642,1018,1078,1099]"
4,competence,pseudo,5,4,"[2,3]",5,5,"[318,1116,1179,1344,1742]"
4,competence,pseudo,10,1,"[4,7,9]",10,10,"[125,157,233,486,585,626,828,1249,1520,1549]"
4,competence,pseudo,10,2,"[1,6,8]",10,10,"[146,218,508,742,1239,1253,1288,1343,1393,1623]"
4,competence,pseudo,10,3,"[0,5]",10,10,"[202,208,411,503,694,786,941,1106,1229,1388]"
4,competence,pseudo,10,4,"[2,3]",10,10,"[45,278,398,461,632,778,1143,1214,1427,1679]"
4,competence,pseudo,20,1,"[4,7,9]",20,20,"[87,94,273,317,405,423,698,719,1022,1108,1124,1137,1249,1282,1339,1406,1467,1533,1652,1658]"
4,competence,pseudo,20,2,"[1,6,8]",20,20,"[196,197,253,351,355,664,752,753,852,899,945,1000,1133,1237,1382,1394,1514,1538,1601,1610]"
4,competence,pseudo,20,3,"[0,5]",20,20,"[25,74,79,145,150,201,202,401,411,457,564,679,694,718,781,981,1075,1157,1319,1493]"
4,competence,pseudo,20,4,"[2,3]",20,20,"[60,142,153,190,318,566,579,599,631,860,1004,1143,1214,1219,1246,1299,1341,1344,1385,1679]"
4,competence,pseudo,40,1,"[4,7,9]",40,40,"[81,139,273,287,299,317,356,374,393,455,467,486,557,585,602,635,655,683,719,754,780,820,837,863,912,1036,1137,1164,1269,1339,1379,1424,1467,1520,1533,1536,1641,1658,1731,1779]"
4,competence,pseudo,40,2,"[1,6,8]",40,40,"[21,28,95,218,264,267,274,336,346,352,355,383,439,490,508,574,581,596,752,880,933,1028,1083,1093,1103,1107,1134,1165,1197,1233,1237,1247,1416,1423,1521,1537,1601,1634,1666,1743]"
4,competence,pseudo,40,3,"[0,5]",40,40,"[15,135,145,150,261,304,396,401,411,441,465,503,541,679,718,720,755,776,781,786,941,951,1021,1054,1075,1078,1106,1157,1162,1205,1319,1335,1366,1388,1389,1470,1532,1568,1713,1793]"
4,competence,pseudo,40,4,"[2,3]",40,40,"[45,60,98,142,190,192,207,278,301,318,369,398,461,566,632,778,821,836,839,853,918,992,999,1004,1051,1074,1170,1179,1214,1219,1246,1299,1337,1341,1344,1350,1427,1566,1606,1690]"
4,competence,true,5,1,"[4,7,9]",5,5,"[324,771,929,1379,1735]"
4,competence,true,5,2,"[1,6,8]",5,5,"[188,509,596,1394,1623]"
4,competence,true,5,3,"[0,5]",5,5,"[551,642,1018,1078,1099]"
4,competence,true,5,4,"[2,3]",5,5,"[318,1116,1179,1344,1742]"
4,competence,true,10,1,"[4,7,9]",10,10,"[125,157,233,486,585,626,828,1249,1520,1549]"
4,competence,true,10,2,"[1,6,8]",10,10,"[146,218,508,742,1239,1253,1288,1343,1393,1623]"
4,competence,true,10,3,"[0,5]",10,10,"[202,208,411,503,694,786,941,1106,1229,1388]"
4,competence,true,10,4,"[2,3]",10,10,"[45,278,398,461,632,778,1143,1214,1427,1679]"
4,competence,true,20,1,"[4,7,9]",20,20,"[87,94,273,317,405,423,698,719,1022,1108,1124,1137,1249,1282,1339,1406,1467,1533,1652,1658]"
4,competence,true,20,2,"[1,6,8]",20,20,"[196,197,253,351,355,664,752,753,852,899,945,1000,1133,1237,1382,1394,1514,1538,1601,1610]"
4,competence,true,20,3,"[0,5]",20,20,"[25,74,79,145,150,201,202,401,411,457,564,679,694,718,781,981,1075,1157,1319,1493]"
4,competence,true,20,4,"[2,3]",20,20,"[60,142,153,190,318,566,579,599,631,860,1004,1143,1214,1219,1246,1299,1341,1344,1385,1679]"
4,competence,true,40,1,"[4,7,9]",40,40,"[81,139,273,287,299,317,356,374,393,455,467,486,557,585,602,635,655,683,719,754,780,820,837,863,912,1036,1137,1164,1269,1339,1379,1424,1467,1520,1533,1536,1641,1658,1731,1779]"
4,competence,true,40,2,"[1,6,8]",40,40,"[21,28,95,218,264,267,274,336,346,352,355,383,439,490,508,574,581,596,752,880,933,1028,1083,1093,1103,1107,1134,1165,1197,1233,1237,1247,1416,1423,1521,1537,1601,1634,1666,1743]"
4,competence,true,40,3,"[0,5]",40,40,"[15,135,145,150,261,304,396,401,411,441,465,503,541,679,718,720,755,776,781,786,941,951,1021,1054,1075,1078,1106,1157,1162,1205,1319,1335,1366,1388,1389,1470,1532,1568,1713,1793]"
4,competence,true,40,4,"[2,3]",40,40,"[45,60,98,142,190,192,207,278,301,318,369,398,461,566,632,778,821,836,839,853,918,992,999,1004,1051,1074,1170,1179,1214,1219,1246,1299,1337,1341,1344,1350,1427,1566,1606,1690]"
4,random,pseudo,5,1,"[1,2,4]",5,5,"[356,906,1137,1466,1742]"
4,random,pseudo,5,2,"[3,7,8]",5,5,"[489,602,839,1789,1794]"
4,random,pseudo,5,3,"[6,9]",5,5,"[547,581,914,1239,1249]"
4,random,pseudo,5,4,"[0,5]",5,5,"[209,1054,1078,1205,1692]"
4,random,pseudo,10,1,"[1,2,4]",10,10,"[198,218,278,566,660,753,952,1343,1597,1648]"
4,random,pseudo,10,2,"[3,7,8]",10,10,"[274,556,742,1108,1164,1467,1537,1566,1789,1790]"
4,random,pseudo,10,3,"[6,9]",10,10,"[139,146,381,455,620,752,771,1282,1393,1521]"
4,random,pseudo,10,4,"[0,5]",10,10,"[15,202,281,401,642,718,1062,1099,1335,1470]"
4,random,pseudo,20,1,"[1,2,4]",20,20,"[87,200,324,355,486,507,780,875,988,1051,1134,1168,1214,1237,1341,1343,1344,1394,1525,1634]"
4,random,pseudo,20,2,"[3,7,8]",20,20,"[253,299,383,414,706,727,742,836,899,1036,1170,1197,1219,1253,1350,1423,1538,1566,1666,1789]"
4,random,pseudo,20,3,"[6,9]",20,20,"[65,82,88,106,125,128,139,360,381,405,574,585,620,635,719,880,1186,1345,1424,1601]"
4,random,pseudo,20,4,"[0,5]",20,20,"[25,74,79,135,209,457,465,503,564,781,1018,1062,1099,1101,1106,1128,1162,1205,1319,1470]"
4,random,pseudo,40,1,"[1,2,4]",40,40,"[68,207,324,336,346,355,369,398,461,530,557,566,631,660,667,778,780,860,875,892,916,929,1000,1041,1051,1107,1179,1288,1299,1341,1427,1466,1536,1597,1611,1648,1652,1717,1735,1751]"
4,random,pseudo,40,2,"[3,7,8]",40,40,"[45,60,157,274,301,317,318,352,374,393,414,445,467,489,508,556,560,579,706,820,837,912,918,922,933,945,995,999,1036,1072,1074,1108,1304,1339,1423,1459,1491,1566,1666,1743]"
4,random,pseudo,40,3,"[6,9]",40,40,"[34,95,106,125,197,287,351,360,381,384,423,455,490,585,635,655,675,683,719,752,771,774,1038,1132,1186,1239,1282,1345,1379,1382,1424,1431,1520,1521,1534,1577,1608,1610,1658,1771]"
4,random,pseudo,40,4,"[0,5]",40,40,"[15,25,33,74,135,145,150,202,208,209,261,281,401,457,642,718,720,755,766,776,951,974,981,1018,1025,1049,1075,1078,1099,1101,1106,1128,1157,1162,1205,1229,1335,1388,1463,1493]"
4,random,true,5,1,"[1,2,4]",5,5,"[356,906,1137,1466,1742]"
4,random,true,5,2,"[3,7,8]",5,5,"[489,602,839,1789,1794]"
4,random,true,5,3,"[6,9]",5,5,"[547,581,914,1239,1249]"
4,random,true,5,4,"[0,5]",5,5,"[209,1054,1078,1205,1692]"
4,random,true,10,1,"[1,2,4]",10,10,"[198,218,278,566,660,753,952,1343,1597,1648]"
4,random,true,10,2,"[3,7,8]",10,10,"[274,556,742,1108,1164,1467,1537,1566,1789,1790]"
4,random,true,10,3,"[6,9]",10,10,"[139,146,381,455,620,752,771,1282,1393,1521]"
4,random,true,10,4,"[0,5]",10,10,"[15,202,281,401,642,718,1062,1099,1335,1470]"
4,random,true,20,1,"[1,2,4]",20,20,"[87,200,324,355,486,507,780,875,988,1051,1134,1168,1214,1237,1341,1343,1344,1394,1525,1634]"
4,random,true,20,2,"[3,7,8]",20,20,"[253,299,383,414,706,727,742,836,899,1036,1170,1197,1219,1253,1350,1423,1538,1566,1666,1789]"
4,random,true,20,3,"[6,9]",20,20,"[65,82,88,106,125,128,139,360,381,405,574,585,620,635,719,880,1186,1345,1424,1601]"
4,random,true,20,4,"[0,5]",20,20,"[25,74,79,135,209,457,465,503,564,781,1018,1062,1099,1101,1106,1128,1162,1205,1319,1470]"
4,random,true,40,1,"[1,2,4]",40,40,"[68,207,324,336,346,355,369,398,461,530,557,566,631,660,667,778,780,860,875,892,916,929,1000,1041,1051,1107,1179,1288,1299,1341,1427,1466,1536,1597,1611,1648,1652,1717,1735,1751]"
4,random,true,40,2,"[3,7,8]",40,40,"[45,60,157,274,301,317,318,352,374,393,414,445,467,489,508,556,560,579,706,820,837,912,918,922,933,945,995,999,1036,1072,1074,1108,1304,1339,1423,1459,1491,1566,1666,1743]"
4,random,true,40,3,"[6,9]",40,40,"[34,95,106,125,197,287,351,360,381,384,423,455,490,585,635,655,675,683,719,752,771,774,1038,1132,1186,1239,1282,1345,1379,1382,1424,1431,1520,1521,1534,1577,1608,1610,1658,1771]"
4,random,true,40,4,"[0,5]",40,40,"[15,25,33,74,135,145,150,202,208,209,261,281,401,457,642,718,720,755,766,776,951,974,981,1018,1025,1049,1075,1078,1099,1101,1106,1128,1157,1162,1205,1229,1335,1388,1463,1493]"
5,competence,pseudo,5,1,"[1,3,4,5,6,8]",5,5,"[80,887,1118,1189,1332]"
5,competence,pseudo,5,2,"[7,9]",5,5,"[240,295,425,1501,1795]"
5,competence,pseudo,5,3,[2],5,5,"[566,703,891,1016,1724]"
5,competence,pseudo,5,4,[0],5,5,"[334,725,747,848,1494]"
5,competence,pseudo,10,1,"[1,3,4,5,6,8]",10,10,"[67,192,264,343,579,630,990,1007,1387,1511]"
5,competence,pseudo,10,2,"[7,9]",10,10,"[81,86,216,472,560,624,942,1056,1330,1587]"
5,competence,pseudo,10,3,[2],10,10,"[207,499,668,700,830,891,892,1371,1437,1618]"
5,competence,pseudo,10,4,[0],10,10,"[286,311,786,848,1002,1077,1078,1099,1235,1768]"
5,competence,pseudo,20,1,"[1,3,4,5,6,8]",20,20,"[343,376,394,427,704,834,866,958,1021,1050,1260,1295,1370,1387,1408,1483,1629,1670,1671,1714]"
5,competence,pseudo,20,2,"[7,9]",20,20,"[27,61,329,337,374,375,405,459,514,543,610,624,1056,1296,1356,1467,1484,1501,1586,1740]"
5,competence,pseudo,20,3,[2],20,20,"[180,207,307,443,461,499,566,648,668,700,723,891,1159,1272,1341,1371,1437,1618,1724,1751]"
5,competence,pseudo,20,4,[0],20,20,"[48,286,311,328,334,465,701,786,831,848,974,1002,1077,1099,1105,1212,1258,1487,1592,1768]"
5,competence,pseudo,40,1,"[1,3,4,5,6,8]",40,40,"[60,67,93,163,177,213,260,264,400,414,427,460,477,520,613,686,687,742,781,784,823,865,879,919,951,1161,1259,1374,1409,1420,1471,1483,1517,1521,1535,1551,1638,1673,1714,1760]"
5,competence,pseudo,40,2,"[7,9]",40,40,"[27,29,61,73,81,125,139,147,149,167,211,287,295,300,337,374,375,425,472,514,525,535,543,560,597,621,624,634,663,783,820,868,942,1056,1066,1072,1399,1523,1740,1795]"
5,competence,pseudo,40,3,[2],40,35,"[180,184,207,307,310,443,461,499,566,648,668,700,703,723,826,830,891,892,927,1016,1017,1159,1207,1272,1338,1341,1371,1437,1557,1565,1618,1679,1717,1724,1751]"
5,competence,pseudo,40,4,[0],40,36,"[48,55,78,208,286,311,328,334,465,571,646,666,701,725,747,786,831,848,974,1002,1049,1077,1078,1099,1105,1167,1212,1235,1258,1451,1487,1494,1579,1592,1697,1768]"
5,competence,true,5,1,"[1,3,4,5,6,8]",5,5,"[80,887,1118,1189,1332]"
5,competence,true,5,2,"[7,9]",5,5,"[240,295,425,1501,1795]"
5,competence,true,5,3,[2],5,5,"[566,703,891,1016,1724]"
5,competence,true,5,4,[0],5,5,"[334,725,747,848,1494]"
5,competence,true,10,1,"[1,3,4,5,6,8]",10,10,"[67,192,264,343,579,630,990,1007,1387,1511]"
5,competence,true,10,2,"[7,9]",10,10,"[81,86,216,472,560,624,942,1056,1330,1587]"
5,competence,true,10,3,[2],10,10,"[207,499,668,700,830,891,892,1371,1437,1618]"
5,competence,true,10,4,[0],10,10,"[286,311,786,848,1002,1077,1078,1099,1235,1768]"
5,competence,true,20,1,"[1,3,4,5,6,8]",20,20,"[343,376,394,427,704,834,866,958,1021,1050,1260,1295,1370,1387,1408,1483,1629,1670,1671,1714]"
5,competence,true,20,2,"[7,9]",20,20,"[27,61,329,337,374,375,405,459,514,543,610,624,1056,1296,1356,1467,1484,1501,1586,1740]"
5,competence,true,20,3,[2],20,20,"[180,207,307,443,461,499,566,648,668,700,723,891,1159,1272,1341,1371,1437,1618,1724,1751]"
5,competence,true,20,4,[0],20,20,"[48,286,311,328,334,465,701,786,831,848,974,1002,1077,1099,1105,1212,1258,1487,1592,1768]"
5,competence,true,40,1,"[1,3,4,5,6,8]",40,40,"[60,67,93,163,177,213,260,264,400,414,427,460,477,520,613,686,687,742,781,784,823,865,879,919,951,1161,1259,1374,1409,1420,1471,1483,1517,1521,1535,1551,1638,1673,1714,1760]"
5,competence,true,40,2,"[7,9]",40,40,"[27,29,61,73,81,125,139,147,149,167,211,287,295,300,337,374,375,425,472,514,525,535,543,560,597,621,624,634,663,783,820,868,942,1056,1066,1072,1399,1523,1740,1795]"
5,competence,true,40,3,[2],40,35,"[180,184,207,307,310,443,461,499,566,648,668,700,703,723,826,830,891,892,927,1016,1017,1159,1207,1272,1338,1341,1371,1437,1557,1565,1618,1679,1717,1724,1751]"
5,competence,true,40,4,[0],40,36,"[48,55,78,208,286,311,328,334,465,571,646,666,701,725,747,786,831,848,974,1002,1049,1077,1078,1099,1105,1167,1212,1235,1258,1451,1487,1494,1579,1592,1697,1768]"
5,random,pseudo,5,1,"[0,4,6,7,8,9]",5,5,"[67,742,1035,1077,1226]"
5,random,pseudo,5,2,"[1,2]",5,5,"[461,499,826,1640,1760]"
5,random,pseudo,5,3,[3],5,5,"[316,561,990,1110,1428]"
5,random,pseudo,5,4,[5],5,5,"[548,1003,1010,1062,1535]"
5,random,pseudo,10,1,"[0,4,6,7,8,9]",10,10,"[61,167,473,804,810,868,1056,1077,1352,1592]"
5,random,pseudo,10,2,"[1,2]",10,10,"[180,184,443,958,1030,1338,1565,1640,1648,1679]"
5,random,pseudo,10,3,[3],10,10,"[60,91,213,316,529,561,579,607,1118,1332]"
5,random,pseudo,10,4,[5],10,10,"[421,460,1021,1062,1129,1189,1192,1203,1358,1787]"
5,random,pseudo,20,1,"[0,4,6,7,8,9]",20,20,"[300,334,353,392,610,701,722,834,919,945,1167,1195,1330,1352,1356,1467,1583,1645,1652,1704]"
5,random,pseudo,20,2,"[1,2]",20,20,"[11,93,606,648,668,700,723,846,891,927,947,1030,1242,1334,1471,1557,1618,1626,1648,1714]"
5,random,pseudo,20,3,[3],20,20,"[59,91,189,192,193,213,231,279,316,347,448,561,865,874,879,1110,1118,1332,1349,1370]"
5,random,pseudo,20,4,[5],20,20,"[33,421,460,521,548,549,951,1021,1061,1062,1064,1129,1189,1203,1259,1333,1420,1524,1699,1787]"
5,random,pseudo,40,1,"[0,4,6,7,8,9]",40,40,"[55,61,78,125,149,208,260,264,375,379,392,400,405,425,571,598,604,634,646,662,687,712,728,786,831,1056,1164,1387,1434,1451,1453,1467,1487,1494,1512,1523,1592,1671,1704,1755]"
5,random,pseudo,40,2,"[1,2]",40,40,"[11,93,177,180,200,207,235,307,397,493,499,566,648,668,700,826,866,891,892,927,958,994,1017,1030,1050,1117,1159,1207,1242,1298,1341,1371,1457,1522,1618,1631,1640,1724,1751,1760]"
5,random,pseudo,40,3,[3],40,37,"[59,60,91,189,190,192,193,213,231,279,316,347,389,448,477,529,561,579,607,737,749,865,874,879,990,1110,1118,1220,1246,1260,1332,1349,1370,1428,1603,1670,1758]"
5,random,pseudo,40,4,[5],40,36,"[33,109,163,376,421,460,521,548,549,679,681,781,951,1003,1010,1021,1061,1062,1064,1129,1172,1189,1192,1203,1259,1319,1333,1358,1420,1517,1524,1535,1692,1699,1769,1787]"
5,random,true,5,1,"[0,4,6,7,8,9]",5,5,"[67,742,1035,1077,1226]"
5,random,true,5,2,"[1,2]",5,5,"[461,499,826,1640,1760]"
5,random,true,5,3,[3],5,5,"[316,561,990,1110,1428]"
5,random,true,5,4,[5],5,5,"[548,1003,1010,1062,1535]"
5,random,true,10,1,"[0,4,6,7,8,9]",10,10,"[61,167,473,804,810,868,1056,1077,1352,1592]"
5,random,true,10,2,"[1,2]",10,10,"[180,184,443,958,1030,1338,1565,1640,1648,1679]"
5,random,true,10,3,[3],10,10,"[60,91,213,316,529,561,579,607,1118,1332]"
5,random,true,10,4,[5],10,10,"[421,460,1021,1062,1129,1189,1192,1203,1358,1787]"
5,random,true,20,1,"[0,4,6,7,8,9]",20,20,"[300,334,353,392,610,701,722,834,919,945,1167,1195,1330,1352,1356,1467,1583,1645,1652,1704]"
5,random,true,20,2,"[1,2]",20,20,"[11,93,606,648,668,700,723,846,891,927,947,1030,1242,1334,1471,1557,1618,1626,1648,1714]"
5,random,true,20,3,[3],20,20,"[59,91,189,192,193,213,231,279,316,347,448,561,865,874,879,1110,1118,1332,1349,1370]"
5,random,true,20,4,[5],20,20,"[33,421,460,521,548,549,951,1021,1061,1062,1064,1129,1189,1203,1259,1333,1420,1524,1699,1787]"
5,random,true,40,1,"[0,4,6,7,8,9]",40,40,"[55,61,78,125,149,208,260,264,375,379,392,400,405,425,571,598,604,634,646,662,687,712,728,786,831,1056,1164,1387,1434,1451,1453,1467,1487,1494,1512,1523,1592,1671,1704,1755]"
5,random,true,40,2,"[1,2]",40,40,"[11,93,177,180,200,207,235,307,397,493,499,566,648,668,700,826,866,891,892,927,958,994,1017,1030,1050,1117,1159,1207,1242,1298,1341,1371,1457,1522,1618,1631,1640,1724,1751,1760]"
5,random,true,40,3,[3],40,37,"[59,60,91,189,190,192,193,213,231,279,316,347,389,448,477,529,561,579,607,737,749,865,874,879,990,1110,1118,1220,1246,1260,1332,1349,1370,1428,1603,1670,1758]"
5,random,true,40,4,[5],40,36,"[33,109,163,376,421,460,521,548,549,679,681,781,951,1003,1010,1021,1061,1062,1064,1129,1172,1189,1192,1203,1259,1319,1333,1358,1420,1517,1524,1535,1692,1699,1769,1787]"
6,competence,pseudo,5,1,"[1,3,4,5,6,8,9]",5,5,"[489,625,873,1028,1461]"
6,competence,pseudo,5,2,[7],5,5,"[222,690,820,1113,1405]"
6,competence,pseudo,5,3,[0],5,5,"[78,776,848,1494,1739]"
6,competence,pseudo,5,4,[2],5,5,"[2,205,1344,1717,1721]"
6,competence,pseudo,10,1,"[1,3,4,5,6,8,9]",10,10,"[107,281,519,719,768,998,1483,1532,1550,1692]"
